variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
info_risk_index,NLD,0.415,0.241,0.285,0.189,0.240,0.321,0.244,0.249
info_risk_index,NOR,0.271,0.280,0.285,0.304,0.209,0.203,0.296,0.319
info_risk_index,NPL,0.216,0.144,0.178,0.150,0.186,0.134,0.175,0.205
info_risk_index,NRU,0.188,0.188,0.395,0.250,0.399,0.143,0.000,
info_risk_index,NZL,0.157,0.167,0.253,0.255,0.203,0.157,0.227,0.307
info_risk_index,OMN,0.233,0.160,0.114,0.134,0.087,0.100,0.129,0.093
info_risk_index,PAK,0.179,0.216,0.066,0.063,0.056,0.044,0.039,0.026
info_risk_index,PAN,0.429,0.427,0.327,0.272,0.306,0.306,0.353,0.230
info_risk_index,PCN,0.500,0.091,0.258,0.060,0.000,0.120,0.180,0.000
info_risk_index,PER,0.985,0.983,0.982,0.984,0.989,0.992,0.995,0.995
info_risk_index,PGA,,,,,,,,
info_risk_index,PHL,0.043,0.031,0.130,0.075,0.037,0.012,0.020,0.043
info_risk_index,PLW,0.148,0.100,0.104,0.064,0.100,0.125,0.074,0.288
info_risk_index,PNG,0.329,0.264,0.262,0.278,0.202,0.223,0.280,0.311
info_risk_index,POL,0.251,0.193,0.195,0.142,0.160,0.173,0.193,0.273
info_risk_index,PRI,0.091,0.213,0.063,0.066,0.061,0.035,0.079,0.129
info_risk_index,PRK,0.339,0.364,0.267,0.296,0.245,0.301,0.140,0.248
info_risk_index,PRT,0.205,0.166,0.193,0.174,0.115,0.112,0.134,0.204
info_risk_index,PRY,0.386,0.207,0.220,0.213,0.290,0.249,0.262,0.301
info_risk_index,PSX,0.240,0.023,0.043,0.086,0.060,0.028,0.031,0.051
info_risk_index,PYF,0.373,0.441,0.295,0.304,0.402,0.257,0.431,0.570
info_risk_index,QAT,0.003,0.002,0.004,0.002,0.006,0.005,0.003,0.003
info_risk_index,ROU,0.181,0.105,0.323,0.174,0.118,0.115,0.096,0.139
info_risk_index,RUS,0.553,0.375,0.525,0.547,0.563,0.538,0.574,0.649
info_risk_index,RWA,0.281,0.133,0.213,0.149,0.165,0.062,0.105,0.124
info_risk_index,SAH,0.667,0.250,0.125,0.200,0.250,0.500,0.333,0.000
info_risk_index,SAU,0.298,0.160,0.168,0.242,0.207,0.106,0.207,0.148
info_risk_index,SCR,,,,,,,,
info_risk_index,SDN,0.295,0.284,0.143,0.220,0.194,0.139,0.146,0.309
info_risk_index,SDS,0.449,0.230,0.278,0.272,0.224,0.219,0.362,0.354
info_risk_index,SEN,0.112,0.115,0.233,0.199,0.268,0.172,0.312,0.379
info_risk_index,SER,,,,,,,,
info_risk_index,SGP,0.009,0.005,0.003,0.002,0.002,0.002,0.002,0.003
info_risk_index,SGS,0.368,0.332,0.479,0.497,0.489,0.304,0.505,0.965
info_risk_index,SHN,0.299,0.137,0.291,0.169,0.300,0.152,0.262,0.252
info_risk_index,SLB,0.172,0.087,0.267,0.234,0.220,0.122,0.191,0.110
info_risk_index,SLE,0.180,0.271,0.349,0.470,0.235,0.209,0.218,0.363
info_risk_index,SLV,0.595,0.555,0.575,0.489,0.445,0.475,0.454,0.531
info_risk_index,SMR,0.158,0.226,0.316,0.330,0.291,0.546,0.513,0.333
