date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-05-03,LVA,736,214,32,490,216,32,10,170,0.2381,53,115,1,31,0,0,7,3,0,,,,,,,,,871.0,1.0,16.0,0.0,64245.0,1143.0
2020-05-04,LVA,664,223,20,421,175,28,14,145,0.3333,29,114,1,27,0,0,11,1,2,,,,,,,,,879.0,8.0,16.0,0.0,65464.0,1219.0
2020-05-05,LVA,821,259,37,525,290,36,13,177,0.2653,40,134,2,34,0,0,11,2,0,,,,,,,,,896.0,17.0,16.0,0.0,66150.0,686.0
2020-05-06,LVA,830,259,42,529,343,37,12,167,0.2449,36,124,0,37,0,0,10,2,0,,,,,,,,,896.0,0.0,17.0,1.0,68627.0,2477.0
2020-05-07,LVA,853,312,52,489,361,37,21,186,0.3621,24,160,0,37,0,2,17,0,2,,,,,,,,,900.0,4.0,17.0,0.0,71069.0,2442.0
2020-05-08,LVA,958,333,45,580,430,34,11,216,0.2444,45,164,2,32,0,0,8,1,2,,,,,,,,,909.0,9.0,18.0,1.0,73016.0,1947.0
2020-05-09,LVA,751,220,35,496,250,32,7,151,0.1795,42,105,0,32,0,0,6,1,0,,,,,,,,,928.0,19.0,18.0,0.0,75571.0,2555.0
2020-05-10,LVA,729,168,35,526,297,39,12,106,0.2353,21,82,1,38,0,1,10,1,0,,,,,,,,,930.0,2.0,18.0,0.0,76592.0,1021.0
2020-05-11,LVA,809,260,46,503,286,35,8,164,0.186,36,123,0,35,0,0,7,1,0,,,,,,,,,939.0,9.0,18.0,0.0,77147.0,555.0
2020-05-12,LVA,907,291,45,571,392,42,10,180,0.1923,26,152,1,41,0,0,8,2,0,,,,,,,,,946.0,7.0,18.0,0.0,79047.0,1900.0
2020-05-13,LVA,761,282,29,450,305,24,9,153,0.2727,20,131,1,23,0,2,6,1,0,,,,,,,,,950.0,4.0,18.0,0.0,81246.0,2199.0
2020-05-14,LVA,870,311,45,514,357,33,11,179,0.25,45,133,1,32,0,0,9,1,1,,,,,,,,,951.0,1.0,19.0,1.0,83275.0,2029.0
2020-05-15,LVA,758,267,40,451,318,28,5,182,0.1515,31,148,3,25,0,1,4,0,0,,,,,,,,,962.0,11.0,19.0,0.0,85431.0,2156.0
2020-05-16,LVA,746,236,47,463,238,37,18,180,0.3273,38,134,0,37,0,0,17,1,0,,,,,,,,,970.0,8.0,19.0,0.0,87377.0,1946.0
2020-05-17,LVA,739,214,31,494,236,25,10,167,0.2857,26,137,0,25,0,1,8,0,1,,,,,,,,,997.0,27.0,19.0,0.0,88405.0,1028.0
2020-05-18,LVA,858,289,56,513,318,38,16,199,0.2963,33,159,0,38,0,0,14,0,2,,,,,,,,,1008.0,11.0,19.0,0.0,89123.0,718.0
2020-05-19,LVA,916,307,49,560,393,41,14,193,0.2545,32,154,4,37,0,1,11,1,1,,,,,,,,,1009.0,1.0,19.0,0.0,90968.0,1845.0
2020-05-20,LVA,864,291,46,527,344,42,5,199,0.1064,45,150,2,40,0,0,4,0,1,,,,,,,,,1012.0,3.0,21.0,2.0,92751.0,1783.0
2020-05-21,LVA,884,279,34,571,369,34,12,197,0.2609,49,142,0,34,0,0,10,2,0,,,,,,,,,1016.0,4.0,21.0,0.0,94621.0,1870.0
2020-05-22,LVA,870,342,40,488,358,32,10,213,0.2381,36,172,0,32,0,0,4,3,3,,,,,,,,,1025.0,9.0,22.0,1.0,96366.0,1745.0
2020-05-23,LVA,669,199,17,453,161,39,13,117,0.25,35,80,0,39,0,2,9,2,0,,,,,,,,,1030.0,5.0,22.0,0.0,97846.0,1480.0
2020-05-24,LVA,688,186,34,468,182,32,16,128,0.3333,27,99,1,31,0,3,11,1,1,,,,,,,,,1046.0,16.0,22.0,0.0,99049.0,1203.0
2020-05-25,LVA,935,352,40,543,340,69,8,234,0.1039,42,188,3,66,0,0,4,3,1,,,,,,,,,1047.0,1.0,22.0,0.0,99770.0,721.0
2020-05-26,LVA,847,283,29,535,299,47,9,186,0.1607,31,151,1,46,0,0,7,1,1,,,,,,,,,1049.0,2.0,22.0,0.0,101598.0,1828.0
2020-05-27,LVA,833,305,36,492,300,30,5,184,0.1429,31,151,0,30,0,0,5,0,0,,,,,,,,,1053.0,4.0,22.0,0.0,103553.0,1955.0
2020-05-28,LVA,802,309,41,452,321,35,8,173,0.186,29,138,1,34,0,0,8,0,0,,,,,,,,,1057.0,4.0,23.0,1.0,105504.0,1951.0
2020-05-29,LVA,1271,417,76,778,661,59,6,249,0.0923,42,204,1,58,0,1,4,1,0,0.0639,0.1884,0.0,0.0088,0.0698,0.0,0.075,,1061.0,4.0,24.0,1.0,106931.0,1427.0
2020-05-30,LVA,847,226,61,560,297,29,12,152,0.2927,29,119,0,29,0,0,9,2,1,,,,,,,,,1064.0,3.0,24.0,0.0,108174.0,1243.0
2020-05-31,LVA,760,215,37,508,230,18,9,140,0.3333,31,105,3,15,0,0,6,3,0,,,,,,,,,1065.0,1.0,24.0,0.0,109071.0,897.0
2020-06-01,LVA,819,282,48,489,269,8,6,171,0.4286,25,144,1,7,0,2,3,1,0,,,,,,,,,1066.0,1.0,24.0,0.0,109723.0,652.0
2020-06-02,LVA,921,291,75,555,314,19,10,162,0.3448,37,119,0,19,0,0,7,1,2,,,,,,,,,1071.0,5.0,24.0,0.0,111404.0,1681.0
2020-06-03,LVA,1076,325,54,697,433,35,11,157,0.2391,19,134,1,34,0,0,10,0,1,0.1266,0.2985,0.0,0.0153,0.1,0.0,0.1034,,1079.0,8.0,24.0,0.0,112965.0,1561.0
2020-06-04,LVA,915,333,53,529,315,16,8,195,0.3333,26,159,0,16,0,1,5,2,0,,,,,,,,,1079.0,0.0,24.0,0.0,114451.0,1486.0
2020-06-05,LVA,845,276,60,509,298,14,13,195,0.4815,36,155,2,12,0,0,9,3,1,,,,,,,,,1082.0,3.0,25.0,1.0,115461.0,1010.0
2020-06-06,LVA,642,191,33,418,210,33,9,131,0.2143,26,102,2,31,0,0,9,0,0,,,,,,,,,1082.0,0.0,25.0,0.0,116535.0,1074.0
2020-06-07,LVA,636,215,38,383,186,27,10,158,0.2703,42,112,0,27,0,0,8,1,1,,,,,,,,,1086.0,4.0,25.0,0.0,117660.0,1125.0
2020-06-08,LVA,703,257,50,396,242,39,4,160,0.093,27,129,0,39,0,0,4,0,0,,,,,,,,,1088.0,2.0,25.0,0.0,118322.0,662.0
2020-06-09,LVA,803,325,40,438,358,34,5,206,0.1282,37,166,0,34,0,0,5,0,0,,,,,,,,,1088.0,0.0,26.0,1.0,120052.0,1730.0
2020-06-10,LVA,733,266,41,426,305,22,8,148,0.2667,28,113,1,21,0,1,6,0,1,,,,,,,,,1089.0,1.0,26.0,0.0,121783.0,1731.0
2020-06-11,LVA,716,209,56,451,282,14,4,70,0.2222,14,56,0,14,0,0,4,0,0,,,,,,,,,1092.0,3.0,26.0,0.0,123364.0,1581.0
