date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-05-16,CAN,52528,13312,3837,35379,48811,4644,1109,5530,0.1928,1861,3221,117,4527,5,65,825,120,94,0.1011,0.0693,0.0132,0.2548,0.206,0.2051,0.2061,,74602,1201,5562,90,1265502.0,32590.0
2020-05-17,CAN,49667,11602,3487,34578,46117,4091,1070,4755,0.2073,1662,2725,113,3978,5,62,735,193,75,0.1022,0.0864,0.0026,0.227,0.2202,0.1407,0.2254,,75853,1251,5679,117,1296695.0,31193.0
2020-05-18,CAN,45307,11237,3038,31032,41632,3642,1014,4151,0.2178,1221,2550,92,3550,9,24,785,130,66,0.1152,0.0835,0.025,0.2406,0.233,0.283,0.229,,76991,1138,5782,103,1319987.0,23292.0
2020-05-19,CAN,56705,15467,3751,37487,53051,4664,1000,6364,0.1766,2273,3663,123,4541,2,21,756,151,70,0.0849,0.0495,0.1045,0.1746,0.1928,0.1971,0.1926,-0.0017,78061,1070,5842,60,1336967.0,16980.0
2020-05-20,CAN,58738,15945,3734,39059,55165,4714,1211,6400,0.2044,2238,3698,113,4601,1,21,981,138,70,0.0964,0.0568,0.0139,0.2581,0.2337,0.1615,0.2377,-0.0034,79101,1040,5912,70,1372929.0,35962.0
2020-05-21,CAN,60188,16522,3997,39669,56663,5236,1305,6964,0.1995,2460,4098,111,5125,2,31,1072,130,70,0.0797,0.0426,0.0052,0.2338,0.2308,0.1912,0.2335,-0.0072,80091,990,6030,118,1375050.0,2121.0
2020-05-22,CAN,63174,18027,4202,40945,59249,5203,1243,7141,0.1928,2398,4258,142,5061,20,20,1022,112,69,0.0762,0.0322,0.0185,0.2283,0.2249,0.248,0.2233,-0.0011,81313,1222,6152,122,1401564.0,26514.0
2020-05-23,CAN,55311,13039,3978,38294,52073,4474,1317,5182,0.2274,1788,3053,249,4225,2,338,759,137,81,0.1166,0.0599,0.0068,0.2741,0.2532,0.199,0.2563,,82469,1156,6250,98,1431911.0,30347.0
2020-05-24,CAN,56645,12575,4268,39802,53287,3777,924,4941,0.1966,1574,3033,186,3591,51,96,566,150,61,0.0721,0.0417,0.0295,0.171,0.225,0.2634,0.2218,,83610,1141,6355,105,1454890.0,22979.0
2020-05-25,CAN,62155,16093,4366,41696,58687,4026,768,6437,0.1602,2098,3989,112,3914,10,20,517,174,47,0.0663,0.0351,0.0376,0.1937,0.1655,0.2284,0.1609,0.0047,84688,1078,6424,69,1479762.0,24872.0
