date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-04-27,YEM,240,54,11,175,14,10,1,26,0.0909,15,10,0,10,0,0,1,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-28,YEM,369,71,8,290,39,16,1,35,0.0588,15,16,0,16,0,1,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-29,YEM,422,81,23,318,66,8,7,50,0.4667,27,20,1,7,0,2,4,1,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-30,YEM,350,94,19,237,34,17,2,56,0.1053,21,27,0,17,0,0,2,0,0,,,,,,,,,6.0,5.0,0.0,0.0,,
2020-05-01,YEM,364,86,10,268,45,9,5,37,0.3571,10,24,2,7,0,0,1,3,1,,,,,,,,,6.0,0.0,2.0,2.0,,
2020-05-02,YEM,363,81,13,269,52,11,1,44,0.0833,18,20,0,11,0,0,1,0,0,,,,,,,,,7.0,1.0,2.0,0.0,,
2020-05-03,YEM,329,59,9,261,33,7,4,33,0.3636,18,11,0,7,0,0,3,1,0,,,,,,,,,10.0,3.0,2.0,0.0,,
2020-05-04,YEM,433,85,17,331,46,6,4,44,0.4,19,19,0,6,0,0,2,0,2,,,,,,,,,10.0,0.0,2.0,0.0,,
2020-05-05,YEM,407,99,17,291,57,8,3,53,0.2727,25,24,0,8,0,0,2,0,1,,,,,,,,,12.0,2.0,2.0,0.0,,
2020-05-06,YEM,352,99,16,237,48,9,1,52,0.1,19,30,0,9,0,0,1,0,0,,,,,,,,,21.0,9.0,3.0,1.0,,
2020-05-07,YEM,351,76,18,257,34,17,7,46,0.2917,23,21,1,16,0,1,4,1,1,,,,,,,,,25.0,4.0,5.0,2.0,,
