ADM0_A3,date,num_bot,num_hum,pct_num_bot,num_unrel_fact,num_rel_fact,pct_unrel_fact,fol_unrel_exp,fol_rel_exp,risk_index,sentiment
PSX,2020-03-13,297,493,0.376,16,45,0.262,75126,818716,0.084,0.042
QAT,2020-03-13,311,444,0.412,6,49,0.109,10414,46703377,0,0.036
ROU,2020-03-13,1014,1258,0.446,24,79,0.233,30395,291000,0.095,-0.011
RUS,2020-03-13,7295,9815,0.426,260,538,0.326,1413454,1456449,0.493,-0.032
RWA,2020-03-13,196,385,0.337,4,27,0.129,6300,106346,0.056,0.149
SAH,2020-03-13,3,3,0.5,0,0,,0,0,,0
SAU,2020-03-13,1228,2217,0.356,33,135,0.196,30627,299682,0.093,0.046
SDN,2020-03-13,249,392,0.388,3,23,0.115,8791,56129,0.135,0.18
SDS,2020-03-13,385,470,0.45,18,27,0.4,54347,47596,0.533,-0.074
SEN,2020-03-13,646,937,0.408,16,59,0.213,62514,85709,0.422,0.047
SGP,2020-03-13,1573,2277,0.409,34,254,0.118,56225,20814274,0.003,-0.024
SLB,2020-03-13,75,79,0.487,5,4,0.556,5580,6532,0.461,-0.134
SLE,2020-03-13,117,142,0.452,1,5,0.167,414,9980,0.04,0.08
SLV,2020-03-13,1601,2758,0.367,67,42,0.615,258669,127956,0.669,-0.039
SOM,2020-03-13,164,303,0.351,1,20,0.048,1103,18004,0.058,0.103
SRB,2020-03-13,497,716,0.41,18,50,0.265,116224,111663,0.51,0.028
SUR,2020-03-13,46,82,0.359,4,6,0.4,2461,8400,0.227,0.139
SVK,2020-03-13,251,352,0.416,9,24,0.273,9172,49287,0.157,0.018
SVN,2020-03-13,621,860,0.419,10,60,0.143,8346,124108,0.063,0.031
SWE,2020-03-13,7760,10722,0.42,223,621,0.264,1319012,13061820,0.092,-0.003
SWZ,2020-03-13,47,94,0.333,2,6,0.25,1092,5266,0.172,0.13
SYR,2020-03-13,175,191,0.478,6,23,0.207,25722,467700,0.052,0.009
TCD,2020-03-13,234,283,0.453,6,27,0.182,11331,62661,0.153,0.032
TGO,2020-03-13,299,416,0.418,11,30,0.268,35199,78008,0.311,0.013
THA,2020-03-13,13743,20279,0.404,422,722,0.369,947530,3463267,0.215,-0.038
TJK,2020-03-13,33,27,0.55,1,3,0.25,289,2523,0.103,0.094
TKM,2020-03-13,26,52,0.333,0,1,0,0,3272,0,-0.072
TLS,2020-03-13,57,81,0.413,3,11,0.214,1476,29446,0.048,0.099
TTO,2020-03-13,349,532,0.396,6,33,0.154,15669,30081,0.342,0.04
TUN,2020-03-13,305,550,0.357,21,43,0.328,29668,58819,0.335,-0.016
TUR,2020-03-13,4490,6682,0.402,68,292,0.189,248571,907168,0.215,0.013
TWN,2020-03-13,1395,1932,0.419,43,134,0.243,262997,247593,0.515,0.011
TZA,2020-03-13,419,565,0.426,5,86,0.055,20957,204920,0.093,0.065
UGA,2020-03-13,1055,1531,0.408,23,111,0.172,52237,616345,0.078,0.124
UKR,2020-03-13,564,818,0.408,13,49,0.21,120122,79302,0.602,-0.031
URY,2020-03-13,3496,5385,0.394,42,103,0.29,72251,303647,0.192,-0.007
USA,2020-03-13,370453,514064,0.419,19549,39602,0.33,226735086,670556316,0.253,-0.058
UZB,2020-03-13,77,80,0.49,1,8,0.111,167,99158,0.002,-0.059
VEN,2020-03-13,13675,26042,0.344,924,339,0.732,36723970,1323426,0.965,-0.039
VNM,2020-03-13,461,691,0.4,26,46,0.361,170302,248920,0.406,0.018
YEM,2020-03-13,376,517,0.421,17,34,0.333,441178,488836,0.474,-0.03
ZAF,2020-03-13,9603,15163,0.388,220,1077,0.17,2211327,367919927,0.006,0.045
ZMB,2020-03-13,260,449,0.367,6,26,0.188,31719,82482,0.278,0.07
ZWE,2020-03-13,534,780,0.406,14,67,0.173,525907,837598,0.386,0.076
_WORLD,2020-03-13,993882,1434689,0.409,38036,95847,0.284,682273051,2630521899,0.206,-0.026
