iso,datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
PHL,2020-03-22,44326,440,626,2288,8057498,11848198,152054929,0.59522,438,18094,107,25686,-0.03021,5.34467,4.21837,5.38522,-0.04015,-0.04784,-0.04569,0.05466,-0.03875,380,17,25,
PLW,2020-03-22,44,0,0,0,0,0,0,0,0,27,0,17,-0.03947,5.5832,4.31686,5.66637,,,,,,,,,
PNG,2020-03-22,1202,39,9,88,62737,6109,103162,0.08873,2,445,4,751,0.03653,5.38119,4.26712,5.47821,,,,,,1,0,0,
POL,2020-03-22,7410,243,80,583,651800,164056,4162715,0.20108,42,3115,43,4210,0.03623,5.39605,4.24304,5.47256,-0.02353,-0.03344,-0.0118,0.04574,-0.03348,634,1,7,
PRI,2020-03-22,5351,252,94,445,7325417,202932,5619531,0.02696,54,2109,15,3172,0.03805,5.31117,4.30538,5.38291,-0.02259,-0.05206,-0.00295,0.03515,-0.04784,0,0,0,
PRK,2020-03-22,422,10,9,18,8253,7669,9972,0.48166,1,141,0,280,0.07747,5.54445,4.21179,5.64661,0.03327,-0.04913,0.06839,-0.04401,-0.0407,,,,
PRT,2020-03-22,8726,162,58,1254,539532,129580,69258852,0.19366,190,3593,41,4902,0.02636,5.41981,4.26524,5.47976,-0.04274,-0.04762,-0.05022,0.07691,-0.04298,1600,5,14,
PRY,2020-03-22,11958,169,48,438,857337,190643,5141940,0.18191,67,4055,13,7823,0.20845,5.36621,4.28677,5.42238,0.00688,-0.03288,-0.0195,0.04671,-0.00586,22,0,1,
PSX,2020-03-22,1274,71,17,87,1156387,54468,596210,0.04498,35,455,16,768,0.00564,5.36864,4.29255,5.39506,,,,,,,,,
PYF,2020-03-22,147,4,3,12,37170,10393,16139,0.21851,0,62,0,85,0.19255,5.61618,4.36732,5.70265,,,,,,,,,
QAT,2020-03-22,1190,25,12,74,15252549,11813,1375439,0.00077,81,389,30,690,0.06902,5.41052,4.22841,5.45072,0.01373,0.04739,0.0173,0.00698,0.03765,494,33,0,
ROU,2020-03-22,2604,72,40,299,398581,242324,1116031,0.3781,24,1106,0,1474,0.03988,5.41238,4.27228,5.46256,-0.03058,-0.01438,-0.03805,0.06832,-0.03908,433,64,3,
RUS,2020-03-22,18796,546,292,1238,3080297,2126555,24010090,0.40841,145,7890,36,10720,0.03254,5.38677,4.26847,5.46511,-0.02487,-0.04897,-0.01644,0.05016,-0.04442,367,16,0,
RWA,2020-03-22,1739,22,10,134,38761,49201,556386,0.55934,27,612,5,1095,0.26348,5.52732,4.20032,5.63098,,,,,,19,0,0,
SAH,2020-03-22,11,0,0,2,0,0,1713,0,0,7,0,4,0.14903,6.1125,4.19375,6.88125,,,,,,,,,
SAU,2020-03-22,6850,113,40,326,635017,458270,17775573,0.41917,131,2386,34,4299,0.07473,5.46621,4.20769,5.55514,-0.01918,-0.04298,0.00481,0.04,-0.06715,511,16,0,
SDN,2020-03-22,560,14,1,25,17307,3396,62243,0.16403,2,224,0,334,0.14067,5.48908,4.259,5.60573,,,,,,2,0,1,
SDS,2020-03-22,973,31,13,64,35688,52070,124790,0.59334,4,399,0,570,0.04945,5.41794,4.21182,5.47806,,,,,,,,,
SEN,2020-03-22,1967,22,7,193,62380,40151,1137790,0.3916,2,756,4,1205,0.13916,5.37455,4.25795,5.5337,,,,,,67,5,0,
SGP,2020-03-22,4733,374,45,381,14813965,52597,15572540,0.00354,78,1867,23,2764,-0.00403,5.3801,4.26811,5.4405,-0.03187,-0.0457,-0.01395,0.05612,-0.05049,455,144,2,
SGS,2020-03-22,32,1,1,3,675,3952,609,0.85412,0,10,0,22,-0.16963,5.43719,4.30799,5.36174,,,,,,,,,
SHN,2020-03-22,137,5,1,8,1503,313,3996,0.17236,0,44,0,93,0.17377,5.37794,4.26806,5.53464,,,,,,,,,
SLB,2020-03-22,162,6,4,5,3558,2449,4204,0.40769,0,52,0,110,-0.05308,5.40606,4.30231,5.47688,,,,,,,,,
SLE,2020-03-22,254,1,9,7,1228,24260,5741,0.95182,3,136,4,111,-0.01227,5.3145,4.21877,5.42975,,,,,,,,,
SLV,2020-03-22,5995,45,99,397,369620,126727,8856699,0.25532,207,2234,42,3511,0.27732,5.41532,4.2774,5.54892,,,,,,3,0,0,
SMR,2020-03-22,76,2,1,2,2387,184,944,0.07157,0,22,0,54,0.09078,5.31803,4.29848,5.38818,,,,,,160,4,20,
SOL,2020-03-22,106,2,2,3,1047,5549,4069,0.84127,0,40,0,66,2e-05,5.3454,4.24418,5.38351,,,,,,,,,
