geohash,lat,long,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
qqxes,-7.8,112.0,24.0,58.0,98.0,137.0,74.0,116.0,304.0,210.0,629.0
qqxet,-7.8,112.0,35.0,33.0,341.0,138.0,149.0,98.0,127.0,115.0,133.0
qqxeu,-7.8,112.0,3.0,,11.0,12.0,5.0,8.0,9.0,7.0,1.0
qqxev,-7.8,112.0,3.0,,7.0,2.0,12.0,11.0,5.0,23.0,14.0
qqxew,-7.8,112.1,3.0,17.0,9.0,18.0,10.0,13.0,15.0,15.0,17.0
qqxey,-7.8,112.1,1.0,,6.0,4.0,3.0,3.0,,1.0,1.0
qqxf1,-8.1,112.2,1.0,,2.0,11.0,8.0,1.0,2.0,,4.0
qqxfh,-8.1,112.3,18.0,10.0,30.0,71.0,93.0,39.0,34.0,18.0,43.0
qqxfm,-8.0,112.4,8.0,2.0,22.0,19.0,43.0,17.0,18.0,6.0,7.0
qqxfp,-8.1,112.5,1.0,,2.0,2.0,1.0,2.0,3.0,2.0,3.0
qqxfy,-7.9,112.4,1.0,1.0,2.0,9.0,18.0,,,,
qqxfz,-7.9,112.5,15.0,3.0,15.0,5.0,3.0,3.0,8.0,13.0,8.0
qqxg2,-7.8,112.2,7.0,5.0,21.0,11.0,13.0,20.0,15.0,22.0,72.0
qqxg6,-7.8,112.3,1.0,1.0,7.0,8.0,16.0,3.0,,4.0,8.0
qqxg8,-7.8,112.2,77.0,120.0,322.0,176.0,221.0,135.0,151.0,187.0,248.0
qqxgb,-7.8,112.2,67.0,341.0,173.0,108.0,66.0,101.0,67.0,49.0,89.0
qqxgc,-7.8,112.2,6.0,74.0,41.0,11.0,19.0,18.0,27.0,4.0,3.0
qqxgf,-7.8,112.3,1.0,3.0,17.0,170.0,205.0,225.0,239.0,264.0,33.0
qqxgj,-7.9,112.4,2.0,5.0,21.0,14.0,24.0,8.0,4.0,3.0,8.0
