datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-02-23,1087,32,38,227,650612,158193,2394596,0.19559,24,342,2,719,-0.06922,5.2625,4.25995,5.23614,0.0087,-0.03484,0.04719,-0.00803,0.03115,0,32,0,0,38,0,0,85,8,0,0,0,
2020-02-24,1811,42,47,342,1395265,139394,3966670,0.09083,43,659,6,1103,0.05425,5.2598,4.31475,5.20656,0.02951,-0.03152,0.04771,-0.00879,0.0418,1,41,0,1,40,5,0,105,41,0,0,0,
2020-02-25,2797,124,110,397,1773941,222168,3680699,0.1113,40,1053,8,1696,0.05237,5.29363,4.29722,5.22152,0.01055,-0.04129,0.04869,0.01031,0.02475,1,123,0,2,95,9,0,128,13,0,0,0,
2020-02-26,2643,117,93,353,402904,478339,2506817,0.5428,18,1016,4,1605,0.09107,5.34372,4.32333,5.29191,0.01737,-0.02667,0.04737,0.00467,0.02616,1,116,1,3,82,6,0,122,8,0,0,0,
2020-02-27,2295,96,76,264,646349,97726,2667330,0.13134,12,896,13,1374,0.08431,5.27914,4.30403,5.2544,0.00215,-0.04419,0.03445,0.00517,0.01871,2,94,4,4,59,9,0,81,11,0,0,0,
2020-02-28,2737,54,104,372,343050,297534,3422721,0.46447,13,959,9,1756,0.10547,5.36205,4.30118,5.37405,0.00107,-0.043,0.02662,0.02098,0.01168,2,52,0,3,89,10,0,124,11,0,0,0,
2020-02-29,3034,71,67,387,139156,141417,3104298,0.50403,33,1129,8,1864,0.1769,5.35056,4.29335,5.4134,0.01299,-0.03626,0.02816,0.01902,0.0028,1,70,0,5,50,10,0,158,17,0,0,0,
2020-03-01,2588,88,87,355,752056,212356,3154124,0.22019,30,948,3,1607,0.1422,5.28737,4.26851,5.3893,0.00504,-0.03947,0.02511,2e-05,0.02283,3,85,0,1,81,5,0,102,8,0,0,0,
2020-03-02,2365,91,73,459,554736,237002,3558174,0.29934,27,895,4,1439,0.08289,5.39301,4.25268,5.50303,-0.04127,-0.02988,-0.02324,0.06359,-0.05552,0,91,0,1,63,8,0,134,23,0,0,0,
2020-03-03,3084,77,102,666,1137985,511131,4097735,0.30994,37,1191,6,1850,0.17638,5.33417,4.24005,5.3009,-0.03857,-0.04431,-0.04607,0.06304,-0.0773,0,77,0,1,99,2,0,97,14,0,0,0,
