datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-03-06,16387,424,129,1900,21947521,453783,257828696,0.02026,362,6951,58,9016,0.1034,5.43368,4.31097,5.52106,-0.01326,-0.05294,0.00294,0.02647,-0.02326,7,417,0,18,77,29,0,933,106,5,1,1,
2020-03-07,24976,620,301,1525,3203604,779315,214067684,0.19566,382,10157,90,14347,0.00695,5.33247,4.25692,5.2801,-0.03618,-0.04023,-0.04698,0.06325,-0.03402,17,603,0,183,92,24,0,868,51,6,1,1,
2020-03-08,25123,707,218,1580,16927288,620767,202368055,0.03538,291,10299,58,14475,0.05812,5.40899,4.27242,5.45583,-0.04383,-0.04638,-0.0512,0.06876,-0.03948,32,675,0,108,90,15,0,700,67,10,1,1,
2020-03-09,60013,534,180,3472,22666963,603765,307437427,0.02595,652,24417,143,34801,0.07288,5.45455,4.21057,5.58037,-0.0285,-0.05406,-0.01467,0.04078,-0.05189,33,501,0,10,157,11,0,2080,124,20,1,1,
2020-03-10,44461,472,134,2569,18912627,977384,188865398,0.04914,409,18614,56,25382,0.07942,5.43251,4.18329,5.55973,-0.02047,-0.05172,-0.01124,0.04035,-0.03944,21,451,0,9,108,14,0,1150,85,33,2,1,
2020-03-11,33906,642,170,2216,28934068,416226,133326072,0.01418,393,13727,133,19653,0.14074,5.44787,4.28543,5.51152,-0.04109,-0.04446,-0.05275,0.07515,-0.04048,17,625,1,28,125,13,0,1096,78,49,2,1,
2020-03-12,33093,379,174,1754,1015447,260688,79265426,0.20428,328,13499,79,19187,0.08193,5.49,4.24093,5.57181,-0.04567,-0.04741,-0.05618,0.07807,-0.04391,10,369,0,7,160,6,0,897,142,52,2,2,
2020-03-13,26786,319,156,1680,757095,920565,65194952,0.54872,185,11021,68,15511,0.05761,5.48333,4.255,5.45981,-0.04353,-0.04634,-0.03194,0.06641,-0.04295,22,297,1,13,113,20,0,922,60,64,2,5,
2020-03-14,31395,399,159,1643,2964467,263773,45921359,0.08171,235,12933,52,18174,0.06232,5.44843,4.27195,5.52949,-0.0492,-0.04741,-0.03999,0.0702,-0.04154,10,389,0,3,137,16,0,885,63,111,2,8,
2020-03-15,44290,382,89,1894,24434258,262889,162462387,0.01064,284,17983,170,25851,0.06149,5.39222,4.2562,5.4581,-0.02071,-0.04597,-0.01393,0.03931,-0.04622,24,358,0,4,76,6,0,1091,93,140,2,11,
